Day,Immigration: (England),Good Friday Agreement: (England),the Troubles: (England)
2016-04-15,15,1,1
2016-04-16,9,0,0
2016-04-17,14,0,0
2016-04-18,11,0,0
2016-04-19,20,0,2
2016-04-20,19,0,0
2016-04-21,22,0,1
2016-04-22,16,0,1
2016-04-23,7,0,1
2016-04-24,14,0,1
2016-04-25,23,0,1
2016-04-26,22,0,1
2016-04-27,21,0,1
2016-04-28,14,0,0
2016-04-29,15,0,0
2016-04-30,10,1,0
2016-05-01,12,0,1
2016-05-02,15,1,0
2016-05-03,16,1,1
2016-05-04,17,1,1
2016-05-05,16,0,0
2016-05-06,17,0,2
2016-05-07,12,0,0
2016-05-08,10,1,1
2016-05-09,16,0,1
2016-05-10,18,0,0
2016-05-11,19,0,1
2016-05-12,17,1,1
2016-05-13,20,0,1
2016-05-14,19,0,0
2016-05-15,13,0,0
2016-05-16,19,0,1
2016-05-17,16,0,0
2016-05-18,19,2,1
2016-05-19,13,0,1
2016-05-20,21,0,0
2016-05-21,8,0,1
2016-05-22,17,1,0
2016-05-23,19,0,0
2016-05-24,16,1,1
2016-05-25,20,0,0
2016-05-26,30,0,0
2016-05-27,19,0,0
2016-05-28,7,0,0
2016-05-29,12,0,1
2016-05-30,19,0,0
2016-05-31,21,0,1
2016-06-01,20,1,1
2016-06-02,22,1,1
2016-06-03,21,0,0
2016-06-04,18,0,0
2016-06-05,16,0,0
2016-06-06,19,0,0
2016-06-07,19,1,1
2016-06-08,29,0,0
2016-06-09,18,0,0
2016-06-10,18,1,2
2016-06-11,13,0,0
2016-06-12,14,1,0
2016-06-13,19,0,1
2016-06-14,19,0,0
2016-06-15,25,0,1
2016-06-16,18,0,0
2016-06-17,17,0,0
2016-06-18,16,0,0
2016-06-19,21,0,0
2016-06-20,27,1,1
2016-06-21,31,1,1
2016-06-22,35,0,1
2016-06-23,32,1,1
2016-06-24,100,2,2
2016-06-25,50,1,0
2016-06-26,33,0,0
2016-06-27,36,0,0
2016-06-28,35,1,0
2016-06-29,27,0,0
2016-06-30,25,0,0
2016-07-01,24,1,1
2016-07-02,18,0,0
2016-07-03,18,0,1
2016-07-04,21,0,0
2016-07-05,16,1,0
2016-07-06,17,0,0
2016-07-07,21,0,1
2016-07-08,15,1,0
2016-07-09,10,0,0
2016-07-10,11,0,0
2016-07-11,24,0,0
2016-07-12,22,1,0
2016-07-13,17,0,1
2016-07-14,20,0,0
2016-07-15,15,0,0
2016-07-16,6,0,1
2016-07-17,12,1,0
2016-07-18,23,0,0
2016-07-19,20,0,1
2016-07-20,16,1,1
2016-07-21,19,1,0
2016-07-22,16,0,0
2016-07-23,12,0,1
2016-07-24,16,0,0
2016-07-25,18,0,0
2016-07-26,12,0,0
2016-07-27,19,0,1
2016-07-28,19,0,1
2016-07-29,10,0,0
2016-07-30,10,0,0
2016-07-31,10,1,0
2016-08-01,15,1,1
2016-08-02,16,0,0
2016-08-03,16,0,0
2016-08-04,14,0,0
2016-08-05,18,0,0
2016-08-06,10,0,0
2016-08-07,7,0,1
2016-08-08,16,0,0
2016-08-09,11,0,0
2016-08-10,17,0,0
2016-08-11,17,0,0
2016-08-12,18,0,0
2016-08-13,8,0,0
2016-08-14,6,0,0
2016-08-15,12,0,1
2016-08-16,11,0,0
2016-08-17,15,0,1
2016-08-18,9,0,0
2016-08-19,15,0,0
2016-08-20,6,0,0
2016-08-21,11,0,1
2016-08-22,11,0,1
2016-08-23,11,0,1
2016-08-24,15,0,0
2016-08-25,19,0,1
2016-08-26,12,0,0
2016-08-27,13,0,1
2016-08-28,10,0,1
2016-08-29,16,0,0
2016-08-30,20,0,0
2016-08-31,15,0,0
2016-09-01,13,0,1
