Day,Immigration: (Northern Ireland),Good Friday Agreement: (Northern Ireland),the Troubles: (Northern Ireland)
2016-04-15,30,0,0
2016-04-16,65,32,0
2016-04-17,0,0,0
2016-04-18,0,0,0
2016-04-19,0,0,0
2016-04-20,0,0,0
2016-04-21,0,31,0
2016-04-22,0,0,31
2016-04-23,0,0,0
2016-04-24,0,0,0
2016-04-25,0,0,0
2016-04-26,0,0,0
2016-04-27,0,0,0
2016-04-28,0,0,0
2016-04-29,0,0,0
2016-04-30,0,0,0
2016-05-01,0,0,0
2016-05-02,0,0,0
2016-05-03,0,28,0
2016-05-04,28,0,0
2016-05-05,0,0,0
2016-05-06,0,0,0
2016-05-07,31,0,0
2016-05-08,0,0,32
2016-05-09,0,0,0
2016-05-10,29,0,29
2016-05-11,30,0,0
2016-05-12,0,0,31
2016-05-13,0,0,33
2016-05-14,0,0,0
2016-05-15,0,0,0
2016-05-16,0,0,0
2016-05-17,0,0,0
2016-05-18,0,0,0
2016-05-19,29,0,0
2016-05-20,30,0,0
2016-05-21,0,0,0
2016-05-22,0,0,30
2016-05-23,0,0,0
2016-05-24,0,0,0
2016-05-25,0,29,0
2016-05-26,0,0,0
2016-05-27,0,0,0
2016-05-28,0,0,0
2016-05-29,0,0,0
2016-05-30,0,0,0
2016-05-31,0,0,31
2016-06-01,0,0,31
2016-06-02,0,0,0
2016-06-03,34,0,0
2016-06-04,0,0,70
2016-06-05,0,0,0
2016-06-06,0,29,0
2016-06-07,0,0,0
2016-06-08,0,0,0
2016-06-09,31,0,0
2016-06-10,0,0,30
2016-06-11,0,0,0
2016-06-12,0,0,30
2016-06-13,28,0,0
2016-06-14,58,0,29
2016-06-15,0,0,0
2016-06-16,0,0,0
2016-06-17,0,0,0
2016-06-18,71,0,0
2016-06-19,0,0,0
2016-06-20,0,0,0
2016-06-21,0,0,29
2016-06-22,0,0,0
2016-06-23,91,0,0
2016-06-24,28,28,0
2016-06-25,100,33,33
2016-06-26,62,31,0
2016-06-27,29,29,0
2016-06-28,0,29,0
2016-06-29,0,0,0
2016-06-30,0,0,0
2016-07-01,0,0,31
2016-07-02,0,0,0
2016-07-03,0,32,0
2016-07-04,0,0,0
2016-07-05,0,0,0
2016-07-06,0,0,0
2016-07-07,0,0,0
2016-07-08,34,0,0
2016-07-09,0,0,71
2016-07-10,0,0,0
2016-07-11,34,0,0
2016-07-12,0,0,0
2016-07-13,0,0,0
2016-07-14,0,0,0
2016-07-15,0,0,62
2016-07-16,36,0,0
2016-07-17,0,0,0
2016-07-18,0,0,0
2016-07-19,0,66,33
2016-07-20,0,0,0
2016-07-21,0,0,0
2016-07-22,0,0,0
2016-07-23,35,0,0
2016-07-24,0,31,0
2016-07-25,0,0,0
2016-07-26,29,0,29
2016-07-27,61,0,0
2016-07-28,0,0,0
2016-07-29,32,0,0
2016-07-30,0,0,0
2016-07-31,0,0,32
2016-08-01,0,30,30
2016-08-02,57,0,0
2016-08-03,28,0,0
2016-08-04,0,0,0
2016-08-05,0,0,0
2016-08-06,0,0,0
2016-08-07,0,0,0
2016-08-08,0,0,30
2016-08-09,31,0,0
2016-08-10,59,0,0
2016-08-11,0,0,0
2016-08-12,0,0,0
2016-08-13,0,0,0
2016-08-14,33,0,0
2016-08-15,0,0,0
2016-08-16,0,0,0
2016-08-17,0,0,0
2016-08-18,0,0,0
2016-08-19,31,0,0
2016-08-20,0,0,0
2016-08-21,0,0,0
2016-08-22,0,0,0
2016-08-23,0,0,0
2016-08-24,0,0,0
2016-08-25,0,0,0
2016-08-26,0,0,0
2016-08-27,0,0,0
2016-08-28,0,0,0
2016-08-29,0,0,0
2016-08-30,0,0,0
2016-08-31,29,0,0
2016-09-01,29,0,0
