Day,Immigration: (Scotland),Good Friday Agreement: (Scotland),the Troubles: (Scotland)
2016-04-15,0,0,0
2016-04-16,0,0,0
2016-04-17,0,0,0
2016-04-18,0,0,0
2016-04-19,7,0,0
2016-04-20,7,7,7
2016-04-21,20,0,0
2016-04-22,20,0,0
2016-04-23,7,0,0
2016-04-24,0,0,0
2016-04-25,12,0,0
2016-04-26,6,0,0
2016-04-27,43,0,0
2016-04-28,0,0,0
2016-04-29,0,0,6
2016-04-30,0,0,0
2016-05-01,6,0,0
2016-05-02,0,0,0
2016-05-03,12,0,0
2016-05-04,12,0,0
2016-05-05,31,0,0
2016-05-06,0,0,0
2016-05-07,14,0,0
2016-05-08,0,0,7
2016-05-09,0,0,7
2016-05-10,7,0,0
2016-05-11,13,0,0
2016-05-12,13,0,0
2016-05-13,13,0,0
2016-05-14,8,0,0
2016-05-15,7,0,0
2016-05-16,0,0,0
2016-05-17,6,0,0
2016-05-18,25,0,0
2016-05-19,0,0,0
2016-05-20,0,0,0
2016-05-21,7,0,0
2016-05-22,6,0,0
2016-05-23,12,0,0
2016-05-24,0,0,0
2016-05-25,0,0,0
2016-05-26,6,0,0
2016-05-27,0,0,0
2016-05-28,0,0,0
2016-05-29,14,0,0
2016-05-30,6,0,6
2016-05-31,19,0,0
2016-06-01,19,0,0
2016-06-02,13,0,0
2016-06-03,20,0,0
2016-06-04,7,0,0
2016-06-05,7,0,0
2016-06-06,6,0,0
2016-06-07,12,0,0
2016-06-08,13,0,0
2016-06-09,0,0,13
2016-06-10,6,0,0
2016-06-11,13,0,0
2016-06-12,0,0,0
2016-06-13,24,0,0
2016-06-14,18,0,0
2016-06-15,6,0,0
2016-06-16,12,0,0
2016-06-17,13,0,0
2016-06-18,7,0,0
2016-06-19,6,0,6
2016-06-20,6,0,0
2016-06-21,18,0,0
2016-06-22,12,0,6
2016-06-23,44,0,0
2016-06-24,100,0,0
2016-06-25,34,0,0
2016-06-26,31,0,0
2016-06-27,12,0,0
2016-06-28,12,0,0
2016-06-29,12,0,0
2016-06-30,25,0,0
2016-07-01,6,0,0
2016-07-02,7,0,0
2016-07-03,7,0,0
2016-07-04,6,0,0
2016-07-05,6,6,0
2016-07-06,13,0,0
2016-07-07,20,0,0
2016-07-08,14,0,0
2016-07-09,7,0,0
2016-07-10,13,0,0
2016-07-11,0,0,0
2016-07-12,13,0,7
2016-07-13,0,0,0
2016-07-14,13,0,0
2016-07-15,13,0,0
2016-07-16,14,0,0
2016-07-17,7,0,0
2016-07-18,14,0,0
2016-07-19,8,0,0
2016-07-20,6,0,0
2016-07-21,21,0,0
2016-07-22,7,0,0
2016-07-23,7,0,7
2016-07-24,7,0,0
2016-07-25,6,0,0
2016-07-26,0,0,0
2016-07-27,13,0,0
2016-07-28,13,0,0
2016-07-29,14,0,0
2016-07-30,0,0,0
2016-07-31,0,0,0
2016-08-01,13,0,0
2016-08-02,6,0,0
2016-08-03,19,0,0
2016-08-04,0,0,0
2016-08-05,0,0,0
2016-08-06,15,0,0
2016-08-07,0,0,0
2016-08-08,13,0,0
2016-08-09,0,0,0
2016-08-10,20,0,0
2016-08-11,26,0,0
2016-08-12,7,0,0
2016-08-13,7,0,0
2016-08-14,0,0,0
2016-08-15,7,0,0
2016-08-16,14,0,0
2016-08-17,0,0,0
2016-08-18,7,0,0
2016-08-19,13,0,0
2016-08-20,0,0,7
2016-08-21,0,0,0
2016-08-22,13,0,0
2016-08-23,13,0,6
2016-08-24,13,0,0
2016-08-25,0,0,0
2016-08-26,13,0,0
2016-08-27,20,0,0
2016-08-28,6,0,0
2016-08-29,0,0,0
2016-08-30,25,0,0
2016-08-31,12,0,0
2016-09-01,25,0,0
