Day,Immigration: (Wales),Good Friday Agreement: (Wales),the Troubles: (Wales)
2016-04-15,0,0,0
2016-04-16,0,0,0
2016-04-17,0,0,0
2016-04-18,12,0,0
2016-04-19,0,0,0
2016-04-20,25,0,0
2016-04-21,60,0,0
2016-04-22,12,0,0
2016-04-23,26,0,0
2016-04-24,12,0,0
2016-04-25,0,0,0
2016-04-26,12,0,0
2016-04-27,0,0,0
2016-04-28,0,0,0
2016-04-29,0,0,0
2016-04-30,0,0,0
2016-05-01,12,0,0
2016-05-02,0,0,0
2016-05-03,0,0,0
2016-05-04,0,0,0
2016-05-05,25,0,0
2016-05-06,13,0,13
2016-05-07,0,0,0
2016-05-08,0,0,0
2016-05-09,11,0,0
2016-05-10,0,0,0
2016-05-11,11,0,0
2016-05-12,0,0,0
2016-05-13,14,0,0
2016-05-14,0,0,0
2016-05-15,0,0,0
2016-05-16,49,0,0
2016-05-17,0,0,0
2016-05-18,12,0,0
2016-05-19,24,0,0
2016-05-20,0,0,0
2016-05-21,0,0,0
2016-05-22,37,0,0
2016-05-23,0,0,0
2016-05-24,13,0,0
2016-05-25,12,0,0
2016-05-26,13,0,0
2016-05-27,14,0,0
2016-05-28,0,0,0
2016-05-29,0,0,0
2016-05-30,0,0,0
2016-05-31,24,0,0
2016-06-01,12,0,0
2016-06-02,26,0,13
2016-06-03,0,0,0
2016-06-04,14,0,14
2016-06-05,0,0,0
2016-06-06,12,0,0
2016-06-07,0,0,0
2016-06-08,25,0,0
2016-06-09,38,0,0
2016-06-10,0,0,0
2016-06-11,26,0,13
2016-06-12,0,0,0
2016-06-13,35,0,0
2016-06-14,12,0,0
2016-06-15,12,0,0
2016-06-16,0,0,0
2016-06-17,0,0,0
2016-06-18,0,0,0
2016-06-19,0,0,0
2016-06-20,12,0,0
2016-06-21,37,0,0
2016-06-22,37,0,0
2016-06-23,26,0,0
2016-06-24,100,0,0
2016-06-25,0,0,0
2016-06-26,24,0,0
2016-06-27,0,0,0
2016-06-28,35,0,0
2016-06-29,23,0,0
2016-06-30,0,0,0
2016-07-01,0,0,0
2016-07-02,0,0,0
2016-07-03,0,0,0
2016-07-04,12,0,0
2016-07-05,0,0,0
2016-07-06,0,0,0
2016-07-07,0,0,0
2016-07-08,0,0,0
2016-07-09,0,0,0
2016-07-10,38,0,0
2016-07-11,12,0,0
2016-07-12,0,0,0
2016-07-13,0,0,0
2016-07-14,25,0,0
2016-07-15,0,0,0
2016-07-16,14,0,0
2016-07-17,13,0,0
2016-07-18,14,0,0
2016-07-19,0,0,0
2016-07-20,0,0,0
2016-07-21,0,0,0
2016-07-22,0,0,0
2016-07-23,30,0,0
2016-07-24,13,0,0
2016-07-25,0,0,0
2016-07-26,0,0,0
2016-07-27,0,0,0
2016-07-28,0,0,0
2016-07-29,0,0,0
2016-07-30,0,0,0
2016-07-31,0,0,0
2016-08-01,0,0,0
2016-08-02,24,0,0
2016-08-03,0,0,0
2016-08-04,13,0,0
2016-08-05,0,0,0
2016-08-06,0,0,0
2016-08-07,0,0,0
2016-08-08,13,0,0
2016-08-09,0,0,0
2016-08-10,27,0,0
2016-08-11,13,0,0
2016-08-12,14,0,0
2016-08-13,15,0,0
2016-08-14,14,0,0
2016-08-15,14,0,0
2016-08-16,14,0,0
2016-08-17,14,0,0
2016-08-18,13,0,0
2016-08-19,0,0,0
2016-08-20,0,0,0
2016-08-21,0,0,0
2016-08-22,0,0,0
2016-08-23,0,0,14
2016-08-24,13,0,0
2016-08-25,0,0,0
2016-08-26,0,0,0
2016-08-27,0,0,0
2016-08-28,14,0,0
2016-08-29,0,0,0
2016-08-30,0,0,0
2016-08-31,12,0,0
2016-09-01,25,0,0
